relation	concept	argument	metadata
comparative	wheel	are lighter than	light	weight	treadmill	1
comparative	apple	are tastier than	tasty	taste property	orange	1
comparative	car	were greener than	green	color	motorcycle	1
comparative	train	is almost always greener than	green	color	car	1
comparative	snake	are way cooler than	cool	temperature	dog	1
comparative	train	are much larger than	large	size	car	1
comparative	zebra	are way cooler than	cool	temperature	horse	1
comparative	van	are smaller than	small	size	bus	1
comparative	car	are heavier than	heavy	weight	bicycle	1
comparative	guitar	was much cooler than	cool	temperature	piano	1
comparative	tiger	are not cooler than	cool	temperature	bear	1
comparative	car	is cooler than	cool	temperature	baby	1
comparative	plantain	are sweeter than	sweet	taste property	banana	1
comparative	door	were cooler than	cool	temperature	car	1
comparative	pig	are way cooler than	cool	temperature	monkey	1
comparative	strawberry	are significantly less acidic than	acidic	taste property	lemon	1
comparative	fig	are smaller than	small	size	orange	1
comparative	bus	are much larger than	large	size	bicycle	1
comparative	bird	are cooler than	cool	temperature	monkey	1
comparative	zebra	are smaller than	small	size	horse	1
comparative	tiger	are smaller than	small	size	liger	1
comparative	ipod	are smaller than	small	size	cd player	1
comparative	lock	are weaker than	weak	strength	caster	1
comparative	bear	are much larger than	large	size	dog	1
comparative	van	are a little smaller than	small	size	bus	1
comparative	carrot	were less juicy than	juicy	taste property	apple	1
comparative	elephant	are larger than	large	size	kitten	1
comparative	white	will reflect more light than	light	weight	orange	1
comparative	strawberry	are sweeter than	sweet	taste property	lemon	1
comparative	banana	are generally larger than	large	size	carrot	1
comparative	car	are much heavier than	heavy	weight	motorcycle	1
comparative	dog	are much smaller than	small	size	tiger	1
comparative	car	are smaller than	small	size	tank	1
comparative	wing	should be more red than	red	color	orange	1
comparative	basketball	is obviously cooler than	cool	temperature	baseball	1
comparative	banana	are more tasty than	tasty	taste property	apple	1
